name,price,discount
Unofficial UNOM0064,0.0,Marcos Gratis
Unofficial UNOM0065,0.0,Marcos Gratis
Unofficial UNOM0066,0.0,Marcos Gratis
Unofficial UNOM0068,54.9,35% marcos + cristales
Unofficial UNOM0073,0.0,Marcos Gratis
Unofficial UNOM0088,0.0,Marcos Gratis
Unofficial UNOM0129,0.0,Marcos Gratis
Unofficial UNOM0157,[ 0.  54.9],['0' 'Marcos Gratis']
Unofficial UNOM0188,0.0,Marcos Gratis
Unofficial UNOM0194,0.0,Marcos Gratis
Unofficial UNOM0236,0.0,Marcos Gratis
Unofficial UNOM0245,0.0,Marcos Gratis
Unofficial UNOM0255,0.0,Marcos Gratis
